ts_code,detect_date,note,status,status_reason,buy_date,buy_time,buy_price,initial_stop_price,initial_r,exit_date,exit_time,exit_price,exit_reason,hold_days,pnl_amount,pnl_pct,pnl_r,max_favorable_excursion_r,max_adverse_excursion_r,peak_stop_price,entry_eligible,entry_reason,entry_buy_date,entry_buy_time,entry_buy_price,entry_detect_prev_high,entry_detect_day_open,entry_detect_day_close,entry_detect_day_low,entry_detect_day_high,entry_detect_volume_1430,entry_day2_volume_1430,entry_pullback_ratio,entry_has_long_lower_shadow,entry_stabilized_after_1400,entry_gap_unfilled,entry_gap_size,entry_initial_stop_price,entry_initial_r,entry_exception
002177.SZ,2025-08-22,gaps up,skipped,pullback_rule;volume_rule;reversal_rule,2025-08-25,2025-08-25 14:30:00,9.46,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule,2025-08-25,2025-08-25 14:30:00,9.46,9.09,9.44,10.0,9.35,10.0,233934427.0,359871844.0,0.9642857142857119,False,False,True,0.2599999999999998,,,
002212.SZ,2025-08-22,gaps up,skipped,volume_rule;reversal_rule,2025-08-25,2025-08-25 14:30:00,10.47,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-08-25,2025-08-25 14:30:00,10.47,9.23,10.15,10.15,10.01,10.15,98144644.0,323414703.0,0.0,False,False,True,0.7799999999999994,,,
002838.SZ,2025-08-22,gaps up,skipped,volume_rule,2025-08-25,2025-08-25 14:30:00,28.37,,,,,,,,,,,,,,False,volume_rule,2025-08-25,2025-08-25 14:30:00,28.37,26.02,27.5,28.62,26.2,28.62,32192069.0,22592458.0,0.2232142857142855,False,True,True,0.17999999999999972,,,
003023.SZ,2025-08-22,gaps up,skipped,pullback_rule;reversal_rule,2025-08-25,2025-08-25 14:30:00,24.6,,,,,,,,,,,,,,False,pullback_rule;reversal_rule,2025-08-25,2025-08-25 14:30:00,24.6,23.53,24.12,24.91,23.8,25.66,18186030.0,9694224.0,0.39240506329113806,False,False,True,0.2699999999999996,,,
300113.SZ,2025-08-22,gaps up,skipped,volume_rule,2025-08-25,2025-08-25 14:30:00,29.49,,,,,,,,,,,,,,False,volume_rule,2025-08-25,2025-08-25 14:30:00,29.49,23.03,23.53,27.24,23.33,27.24,86203846.0,105651430.0,0.0,False,True,True,0.29999999999999716,,,
300314.SZ,2025-08-22,gaps up,traded,completed,2025-08-25,2025-08-25 14:30:00,15.52,14.7807,0.7393000000000001,2025-08-27,2025-08-27 14:57:00,14.7807,trailing_stop,3.0,-0.7393000000000001,-0.047635309278350524,-1.0,0.14878939537400407,-1.0009468416069256,14.7807,True,eligible,2025-08-25,2025-08-25 14:30:00,15.52,14.93,15.76,15.47,15.22,16.95,32951500.0,17869702.0,0.0,True,False,True,0.2900000000000009,14.7807,0.7393000000000001,
300324.SZ,2025-08-22,gaps up,skipped,pullback_rule;volume_rule,2025-08-25,2025-08-25 14:30:00,6.22,,,,,,,,,,,,,,False,pullback_rule;volume_rule,2025-08-25,2025-08-25 14:30:00,6.22,6.03,6.12,6.35,6.04,6.8,358368896.0,336282854.0,0.5652173913043484,True,False,True,0.009999999999999787,,,
301035.SZ,2025-08-22,gaps up,skipped,pullback_rule,2025-08-25,2025-08-25 14:30:00,72.27,,,,,,,,,,,,,,False,pullback_rule,2025-08-25,2025-08-25 14:30:00,72.27,69.55,72.0,72.41,70.2,78.47,5411332.0,3434276.0,0.3414634146341506,False,True,True,0.6500000000000057,,,
600031.SH,2025-08-22,gaps up,skipped,volume_rule;reversal_rule;gap_fill_rule,2025-08-25,2025-08-25 14:30:00,21.32,,,,,,,,,,,,,,False,volume_rule;reversal_rule;gap_fill_rule,2025-08-25,2025-08-25 14:30:00,21.32,21.14,21.4,21.3,21.21,21.63,85697349.0,85507343.0,0.0,False,False,False,0.07000000000000028,,,
600315.SH,2025-08-22,gaps up,skipped,volume_rule;reversal_rule,2025-08-25,2025-08-25 14:30:00,25.9,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-08-25,2025-08-25 14:30:00,25.9,23.82,24.31,25.74,24.31,25.74,20693023.0,28307562.0,0.0,False,False,True,0.48999999999999844,,,
