ts_code,detect_date,note,status,status_reason,buy_date,buy_time,buy_price,initial_stop_price,initial_r,exit_date,exit_time,exit_price,exit_reason,hold_days,pnl_amount,pnl_pct,pnl_r,max_favorable_excursion_r,max_adverse_excursion_r,peak_stop_price,entry_eligible,entry_reason,entry_buy_date,entry_buy_time,entry_buy_price,entry_detect_prev_high,entry_detect_day_open,entry_detect_day_close,entry_detect_day_low,entry_detect_day_high,entry_detect_day_volume,entry_day2_volume_1430,entry_pullback_ratio,entry_has_long_lower_shadow,entry_stabilized_after_1400,entry_gap_unfilled,entry_gap_size,entry_initial_stop_price,entry_initial_r
002038.SZ,2025-11-10,,skipped,reversal_rule,2025-11-11,2025-11-11 14:30:00,7.82,,,,,,,,,,,,,,False,reversal_rule,2025-11-11,2025-11-11 14:30:00,7.82,7.59,7.66,7.82,7.65,7.89,37816006.0,21276500.0,0.0,False,False,True,0.0600000000000005,,
300437.SZ,2025-11-10,,skipped,volume_rule;reversal_rule,2025-11-11,2025-11-11 14:30:00,19.16,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-11-11,2025-11-11 14:30:00,19.16,14.66,16.68,17.59,15.73,17.59,81483202.0,80318846.0,0.0,False,False,True,1.0700000000000003,,
002170.SZ,2025-11-07,,skipped,pullback_rule,2025-11-10,2025-11-10 14:30:00,13.1,,,,,,,,,,,,,,False,pullback_rule,2025-11-10,2025-11-10 14:30:00,13.1,12.42,13.0,13.56,12.73,13.66,255971780.0,152013856.0,0.8214285714285722,True,False,True,0.3100000000000005,,
002170.SZ,2025-11-07,,skipped,pullback_rule,2025-11-10,2025-11-10 14:30:00,13.1,,,,,,,,,,,,,,False,pullback_rule,2025-11-10,2025-11-10 14:30:00,13.1,12.42,13.0,13.56,12.73,13.66,255971780.0,152013856.0,0.8214285714285722,True,False,True,0.3100000000000005,,
002255.SZ,2025-11-07,,skipped,volume_rule,2025-11-10,2025-11-10 14:30:00,14.91,,,,,,,,,,,,,,False,volume_rule,2025-11-10,2025-11-10 14:30:00,14.91,13.07,13.8,14.38,13.63,14.38,163327760.0,315102885.0,0.0,False,True,True,0.5600000000000005,,
002186.SZ,2025-11-07,,traded,completed,2025-11-10,2025-11-10 14:30:00,12.9,12.254999999999999,0.6450000000000014,2025-11-14,2025-11-14 09:30:00,12.5,two_close_below_ma5,5.0,-0.40000000000000036,-0.031007751937984523,-0.6201550387596891,0.23255813953488377,-0.744186046511627,12.254999999999999,True,eligible,2025-11-10,2025-11-10 14:30:00,12.9,12.1,12.5,12.83,12.35,13.0,39716222.0,27054806.0,0.0,True,False,True,0.25,12.254999999999999,0.6450000000000014
000514.SZ,2025-11-07,,skipped,volume_rule;reversal_rule,2025-11-10,2025-11-10 14:30:00,6.58,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-11-10,2025-11-10 14:30:00,6.58,5.81,6.01,6.39,6.01,6.39,110982315.0,147977251.0,0.0,False,False,True,0.20000000000000018,,
000534.SZ,2025-11-07,,traded,completed,2025-11-10,2025-11-10 14:30:00,22.85,21.7075,1.1425000000000018,2025-11-11,2025-11-11 13:01:00,21.7075,trailing_stop,2.0,-1.1425000000000018,-0.05000000000000008,-1.0,0.0,-1.024070021881838,21.7075,True,eligible,2025-11-10,2025-11-10 14:30:00,22.85,20.69,21.0,22.51,21.0,22.76,75415136.0,56739699.0,0.0,False,True,True,0.3099999999999987,21.7075,1.1425000000000018
300775.SZ,2025-11-06,,skipped,volume_rule;reversal_rule,2025-11-07,2025-11-07 14:30:00,32.46,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-11-07,2025-11-07 14:30:00,32.46,25.63,30.0,30.59,29.41,30.59,72880242.0,127313588.0,0.0,False,False,True,3.780000000000001,,
301548.SZ,2025-11-06,,traded,completed,2025-11-07,2025-11-07 14:30:00,60.21,57.1995,3.0105000000000004,2025-11-12,2025-11-12 09:31:00,57.1995,trailing_stop,4.0,-3.0105000000000004,-0.05,-1.0,0.013286829430326903,-1.0961634280019943,57.1995,True,eligible,2025-11-07,2025-11-07 14:30:00,60.21,52.83,53.7,61.59,53.7,62.35,12141666.0,7535087.0,0.17490494296577977,True,False,True,0.8700000000000045,57.1995,3.0105000000000004
300109.SZ,2025-11-06,,skipped,reversal_rule,2025-11-07,2025-11-07 14:30:00,18.15,,,,,,,,,,,,,,False,reversal_rule,2025-11-07,2025-11-07 14:30:00,18.15,16.86,16.96,17.93,16.9,18.08,25203620.0,14566666.0,0.0,False,False,True,0.03999999999999915,,
