ts_code,detect_date,note
603083.SH,20250926,gaps up
603156.SH,20250926,gaps up
603313.SH,20250926,gaps up
000973.SZ,20250929,gaps up
001209.SZ,20250929,gaps up
001258.SZ,20250929,gaps up
002011.SZ,20250929,gaps up
002073.SZ,20250929,gaps up
002132.SZ,20250929,gaps up
002140.SZ,20250929,gaps up
002895.SZ,20250929,gaps up
002925.SZ,20250929,gaps up
002941.SZ,20250929,gaps up
300904.SZ,20250929,gaps up
301099.SZ,20250929,gaps up
301290.SZ,20250929,gaps up
600367.SH,20250929,gaps up
600810.SH,20250929,gaps up
601218.SH,20250929,gaps up
000408.SZ,20250930,gaps up
000426.SZ,20250930,gaps up
000603.SZ,20250930,gaps up
000878.SZ,20250930,gaps up
000923.SZ,20250930,gaps up
000960.SZ,20250930,gaps up
001309.SZ,20250930,gaps up
002125.SZ,20250930,gaps up
002155.SZ,20250930,gaps up
002407.SZ,20250930,gaps up
002513.SZ,20250930,gaps up
002527.SZ,20250930,gaps up
002759.SZ,20250930,gaps up
300475.SZ,20250930,gaps up
300948.SZ,20250930,gaps up
301209.SZ,20250930,gaps up
301308.SZ,20250930,gaps up
301366.SZ,20250930,gaps up
301518.SZ,20250930,gaps up
600096.SH,20250930,gaps up
600362.SH,20250930,gaps up
600456.SH,20250930,gaps up
600490.SH,20250930,gaps up
600629.SH,20250930,gaps up
600711.SH,20250930,gaps up
600728.SH,20250930,gaps up
601061.SH,20250930,gaps up
601127.SH,20250930,gaps up
601168.SH,20250930,gaps up
601899.SH,20250930,gaps up
603026.SH,20250930,gaps up
603799.SH,20250930,gaps up
605376.SH,20250930,gaps up
000506.SZ,20251009,gaps up
000923.SZ,20251009,gaps up
002895.SZ,20251009,gaps up
300584.SZ,20251009,gaps up
300611.SZ,20251009,gaps up
600888.SH,20251009,gaps up
601061.SH,20251009,gaps up
603132.SH,20251009,gaps up
000726.SZ,20251015,gaps up
300904.SZ,20251022,gaps up
000792.SZ,20251024,gaps up
000737.SZ,20251027,gaps up
000582.SZ,20251104,gaps up
000722.SZ,20251104,gaps up
000777.SZ,20251104,gaps up
002134.SZ,20251104,gaps up
002181.SZ,20251104,gaps up
002555.SZ,20251104,gaps up
002885.SZ,20251104,gaps up
002911.SZ,20251104,gaps up
003011.SZ,20251104,gaps up
300402.SZ,20251104,gaps up
600249.SH,20251104,gaps up
600308.SH,20251104,gaps up
600977.SH,20251104,gaps up
601890.SH,20251104,gaps up
603169.SH,20251104,gaps up
603312.SH,20251104,gaps up
603823.SH,20251104,gaps up
000572.SZ,20251105,gaps up
000592.SZ,20251105,gaps up
603616.SH,20251105,gaps up
000533.SZ,20251106,gaps up
000720.SZ,20251106,gaps up
000809.SZ,20251106,gaps up
002300.SZ,20251106,gaps up
002310.SZ,20251106,gaps up
002562.SZ,20251106,gaps up
002782.SZ,20251106,gaps up
300062.SZ,20251106,gaps up
300109.SZ,20251106,gaps up
300511.SZ,20251106,gaps up
301548.SZ,20251106,gaps up
600089.SH,20251106,gaps up
600522.SH,20251106,gaps up
601877.SH,20251106,gaps up
603105.SH,20251106,gaps up
603530.SH,20251106,gaps up
603929.SH,20251106,gaps up
605060.SH,20251106,gaps up
605123.SH,20251106,gaps up
000514.SZ,20251107,gaps up
000534.SZ,20251107,gaps up
001309.SZ,20251107,gaps up
002170.SZ,20251107,gaps up
002176.SZ,20251107,gaps up
002186.SZ,20251107,gaps up
002196.SZ,20251107,gaps up
002255.SZ,20251107,gaps up
002518.SZ,20251107,gaps up
002709.SZ,20251107,gaps up
600506.SH,20251107,gaps up
600691.SH,20251107,gaps up
603516.SH,20251107,gaps up
603978.SH,20251107,gaps up
000703.SZ,20251110,gaps up
000756.SZ,20251110,gaps up
000830.SZ,20251110,gaps up
001209.SZ,20251110,gaps up
002038.SZ,20251110,gaps up
002091.SZ,20251110,gaps up
002413.SZ,20251110,gaps up
002658.SZ,20251110,gaps up
002731.SZ,20251110,gaps up
002950.SZ,20251110,gaps up
300072.SZ,20251110,gaps up
300437.SZ,20251110,gaps up
300635.SZ,20251110,gaps up
600078.SH,20251110,gaps up
600096.SH,20251110,gaps up
600426.SH,20251110,gaps up
600537.SH,20251110,gaps up
600645.SH,20251110,gaps up
600726.SH,20251110,gaps up
600875.SH,20251110,gaps up
600939.SH,20251110,gaps up
601969.SH,20251110,gaps up
603612.SH,20251110,gaps up
603663.SH,20251110,gaps up
605598.SH,20251110,gaps up
000935.SZ,20251111,gaps up
002339.SZ,20251111,gaps up
300066.SZ,20251111,gaps up
300069.SZ,20251111,gaps up
300263.SZ,20251111,gaps up
300959.SZ,20251111,gaps up
300997.SZ,20251111,gaps up
301626.SZ,20251111,gaps up
600067.SH,20251111,gaps up
600094.SH,20251111,gaps up
600103.SH,20251111,gaps up
600206.SH,20251111,gaps up
600702.SH,20251111,gaps up
600810.SH,20251111,gaps up
603212.SH,20251111,gaps up
603396.SH,20251111,gaps up
603938.SH,20251111,gaps up
605337.SH,20251111,gaps up
000061.SZ,20251112,gaps up
002053.SZ,20251112,gaps up
002218.SZ,20251112,gaps up
002374.SZ,20251112,gaps up
002907.SZ,20251112,gaps up
300164.SZ,20251112,gaps up
300191.SZ,20251112,gaps up
300289.SZ,20251112,gaps up
300388.SZ,20251112,gaps up
300753.SZ,20251112,gaps up
300858.SZ,20251112,gaps up
301305.SZ,20251112,gaps up
600737.SH,20251112,gaps up
603758.SH,20251112,gaps up
000973.SZ,20251113,gaps up
001298.SZ,20251113,gaps up
002250.SZ,20251113,gaps up
002309.SZ,20251113,gaps up
002326.SZ,20251113,gaps up
002451.SZ,20251113,gaps up
300037.SZ,20251113,gaps up
300350.SZ,20251113,gaps up
300937.SZ,20251113,gaps up
301118.SZ,20251113,gaps up
301193.SZ,20251113,gaps up
301238.SZ,20251113,gaps up
600429.SH,20251113,gaps up
603655.SH,20251113,gaps up
603867.SH,20251113,gaps up
603948.SH,20251113,gaps up
000407.SZ,20251114,gaps up
000632.SZ,20251114,gaps up
000633.SZ,20251114,gaps up
000692.SZ,20251114,gaps up
000955.SZ,20251114,gaps up
001203.SZ,20251114,gaps up
001266.SZ,20251114,gaps up
002083.SZ,20251114,gaps up
002780.SZ,20251114,gaps up
002805.SZ,20251114,gaps up
002893.SZ,20251114,gaps up
300483.SZ,20251114,gaps up
300497.SZ,20251114,gaps up
300867.SZ,20251114,gaps up
301019.SZ,20251114,gaps up
600152.SH,20251114,gaps up
600167.SH,20251114,gaps up
600408.SH,20251114,gaps up
600829.SH,20251114,gaps up
600903.SH,20251114,gaps up
603778.SH,20251114,gaps up
002020.SZ,20251117,gaps up
300095.SZ,20251117,gaps up
300589.SZ,20251117,gaps up
300875.SZ,20251117,gaps up
301150.SZ,20251117,gaps up
600097.SH,20251117,gaps up
600467.SH,20251117,gaps up
600698.SH,20251117,gaps up
600829.SH,20251117,gaps up
603668.SH,20251117,gaps up
603817.SH,20251117,gaps up
000407.SZ,20251118,gaps up
002404.SZ,20251118,gaps up
002682.SZ,20251118,gaps up
002715.SZ,20251118,gaps up
